x,y,time
0.0,0.0,2025-07-04T11:36:16.300744
0.0,0.0,2025-07-04T11:36:16.303738
0.0,0.0,2025-07-04T11:36:16.306730
0.0,0.0,2025-07-04T11:36:16.309720
0.0,0.0,2025-07-04T11:36:16.311829
0.0,0.0,2025-07-04T11:36:16.313823
0.0,0.0,2025-07-04T11:36:16.315705
0.0,0.0,2025-07-04T11:36:16.318697
0.0,0.0,2025-07-04T11:36:16.321331
0.0,0.0,2025-07-04T11:36:16.323872
0.0,0.0,2025-07-04T11:36:16.326147
0.0,0.0,2025-07-04T11:36:16.328274
0.0,0.0,2025-07-04T11:36:16.330970
0.0,0.0,2025-07-04T11:36:16.333968
0.0,0.0,2025-07-04T11:36:16.336775
0.0,0.0,2025-07-04T11:36:16.339709
0.0,0.0,2025-07-04T11:36:16.342141
0.0,0.0,2025-07-04T11:36:16.345866
0.0,0.0,2025-07-04T11:36:16.348659
0.0,0.0,2025-07-04T11:36:16.350855
0.0,0.0,2025-07-04T11:36:16.354678
0.0,0.0,2025-07-04T11:36:16.357639
0.0,0.0,2025-07-04T11:36:16.359635
0.0,0.0,2025-07-04T11:36:16.361625
0.0,0.0,2025-07-04T11:36:16.364617
0.0,0.0,2025-07-04T11:36:16.367632
0.0,0.0,2025-07-04T11:36:16.370604
0.0,0.0,2025-07-04T11:36:16.373597
0.0,0.0,2025-07-04T11:36:16.377589
0.0,0.0,2025-07-04T11:36:16.381576
0.0,0.0,2025-07-04T11:36:16.386559
0.0,0.0,2025-07-04T11:36:16.390717
0.0,0.0,2025-07-04T11:36:16.393720
0.0,0.0,2025-07-04T11:36:16.396533
0.0,0.0,2025-07-04T11:36:16.399523
0.0,0.0,2025-07-04T11:36:16.401518
0.0,0.0,2025-07-04T11:36:16.403513
0.0,0.0,2025-07-04T11:36:16.406532
0.0,0.0,2025-07-04T11:36:16.408528
0.0,0.0,2025-07-04T11:36:16.410494
0.0,0.0,2025-07-04T11:36:16.412489
0.0,0.0,2025-07-04T11:36:16.414590
0.0,0.0,2025-07-04T11:36:16.416640
0.0,0.0,2025-07-04T11:36:16.419471
0.0,0.0,2025-07-04T11:36:16.422492
0.0,0.0,2025-07-04T11:36:16.424655
0.0,0.0,2025-07-04T11:36:16.427449
0.0,0.0,2025-07-04T11:36:16.430469
0.0,0.0,2025-07-04T11:36:16.433644
0.0,0.0,2025-07-04T11:36:16.436432
0.0,0.0,2025-07-04T11:36:16.439440
0.0,0.0,2025-07-04T11:36:16.442433
0.0,0.0,2025-07-04T11:36:16.444405
0.0,0.0,2025-07-04T11:36:16.447614
0.0,0.0,2025-07-04T11:36:16.450388
0.0,0.0,2025-07-04T11:36:16.453381
0.0,0.0,2025-07-04T11:36:16.456485
0.0,0.0,2025-07-04T11:36:16.458563
0.0,0.0,2025-07-04T11:36:16.461359
0.0,0.0,2025-07-04T11:36:16.463420
0.0,0.0,2025-07-04T11:36:16.465376
0.0,0.0,2025-07-04T11:36:16.468342
0.0,0.0,2025-07-04T11:36:16.472328
0.0,0.0,2025-07-04T11:36:16.475323
0.0,0.0,2025-07-04T11:36:16.477350
0.0,0.0,2025-07-04T11:36:16.479497
0.0,0.0,2025-07-04T11:36:16.482487
0.0,0.0,2025-07-04T11:36:16.485294
0.0,0.0,2025-07-04T11:36:16.488317
0.0,0.0,2025-07-04T11:36:16.491279
0.0,0.0,2025-07-04T11:36:16.494276
0.0,0.0,2025-07-04T11:36:16.497267
0.0,0.0,2025-07-04T11:36:16.499379
0.0,0.0,2025-07-04T11:36:16.502250
0.0,0.0,2025-07-04T11:36:16.505244
0.0,0.0,2025-07-04T11:36:16.508233
0.0,0.0,2025-07-04T11:36:16.510342
0.0,0.0,2025-07-04T11:36:16.512412
0.0,0.0,2025-07-04T11:36:16.515377
0.0,0.0,2025-07-04T11:36:16.518208
0.0,0.0,2025-07-04T11:36:16.521199
0.0,0.0,2025-07-04T11:36:16.524218
0.0,0.0,2025-07-04T11:36:16.526213
0.0,0.0,2025-07-04T11:36:16.528207
0.0,0.0,2025-07-04T11:36:16.530366
0.0,0.0,2025-07-04T11:36:16.533364
0.0,0.0,2025-07-04T11:36:16.536195
0.0,0.0,2025-07-04T11:36:16.539178
0.0,0.0,2025-07-04T11:36:16.541263
0.0,0.0,2025-07-04T11:36:16.543252
0.0,0.0,2025-07-04T11:36:16.545343
0.0,0.0,2025-07-04T11:36:16.548128
0.0,0.0,2025-07-04T11:36:16.550167
0.0,0.0,2025-07-04T11:36:16.552116
0.0,0.0,2025-07-04T11:36:16.555137
0.0,0.0,2025-07-04T11:36:16.558128
0.0,0.0,2025-07-04T11:36:16.561092
0.0,0.0,2025-07-04T11:36:16.563271
0.0,0.0,2025-07-04T11:36:16.566124
0.0,0.0,2025-07-04T11:36:16.568073
0.0,0.0,2025-07-04T11:36:16.571094
0.0,0.0,2025-07-04T11:36:16.574251
0.0,0.0,2025-07-04T11:36:16.577136
0.0,0.0,2025-07-04T11:36:16.579238
0.0,0.0,2025-07-04T11:36:16.582152
0.0,0.0,2025-07-04T11:36:16.584144
